Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel injection
Mercedes-Benz C 300,113,2,4,9,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz C 300 4MATIC,106,2,4,9,Automatic,26,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz CLA 250,240,2,4,7,Manual,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz CLA 250 4MATIC,212,2,4,7,Manual,27,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz CLA 250 4MATIC,36,2,4,7,Manual,27,Turbocharged/Supercharged,Y,4-Wheel Drive,85,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz CLS 550,319,4.7,8,9,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz CLS 550 4MATIC,320,4.7,8,9,Automatic,20,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mitsubishi Motors Corporation MIRAGE,102,1.2,3,1,CVT,39,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Mitsubishi Motors Corporation MIRAGE,101,1.2,3,5,Manual,36,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Mitsubishi Motors Corporation MIRAGE G4,104,1.2,3,1,CVT,37,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Mitsubishi Motors Corporation MIRAGE G4,103,1.2,3,5,Manual,35,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN VERSA,103,1.6,4,4,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN VERSA,101,1.6,4,1,CVT,34,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN VERSA,102,1.6,4,5,Manual,30,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Rolls-Royce Motor Cars Limited Dawn,8,6.6,12,8,Automatic,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Subaru WRX,25,2,4,8,CVT,21,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Subaru WRX,24,2,4,6,Manual,23,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Subaru WRX,26,2.5,4,6,Manual,19,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Subaru WRX STI TYPE RA,32,2.5,4,6,Manual,18,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
TOYOTA C-HR,7,2,4,7,CVT,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA PRIUS c,18,1.5,4,1,CVT,46,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA YARIS,1,1.5,4,4,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA YARIS,2,1.5,4,5,Manual,33,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Volkswagen Beetle,42,2,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Beetle Dune,40,2,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Golf R,45,2,4,7,Manual,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Volkswagen Golf R,44,2,4,6,Manual,24,Turbocharged/Supercharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Volkswagen GTI,79,2,4,6,Manual,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen GTI,78,2,4,6,Manual,28,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Jetta,50,1.4,4,6,Automatic,32,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Jetta,51,1.4,4,5,Manual,33,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Jetta,52,1.8,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Jetta,53,2,4,6,Manual,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 AWD",107,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 AWD",101,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 CC AWD",116,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 FWD",87,2,4,8,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 Inscription AWD",106,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 Inscription FWD",32,2,4,8,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S60 Polestar AWD",111,2,4,8,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Acura RLX,26,3.5,6,7,Manual,28,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Acura RLX,25,3.5,6,10,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
ALFA ROMEO Giulia,400,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
ALFA ROMEO Giulia,401,2.9,6,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
ALFA ROMEO Giulia AWD,402,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Audi A5 Sportback quattro,4,2,4,7,Manual,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A6,2,2,4,7,Manual,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A6 quattro,1,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A6 quattro,34,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A7 quattro,35,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi RS7,62,4,8,8,Automatic,17,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S5 Sportback,9,3,6,8,Manual,24,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S6,60,4,8,7,Manual,18,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S7,61,4,8,7,Manual,18,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S8,63,4,8,8,Automatic,18,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Bentley Flying Spur,57,4,8,8,Automatic,16,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Bentley Flying Spur,76,6,12,8,Automatic,14,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
Bentley Mulsanne,64,6.8,8,8,Automatic,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,1,1,Multipoint/sequential ignition
BMW 530i,530,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 530i xDrive,532,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 540i,540,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 540i xDrive,541,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M550i xDrive,550,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Buick LACROSSE,265,2.5,4,6,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Buick LACROSSE,379,3.6,6,9,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Buick LACROSSE AWD,234,3.6,6,9,Automatic,23,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac CTS,110,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac CTS,411,3.6,6,8,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac CTS,407,3.6,6,8,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac CTS AWD,404,2,4,8,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Cadillac CTS AWD,67,3.6,6,8,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac CTS-V,412,6.2,8,8,Automatic,17,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Direct ignition
Chevrolet CRUZE HATCHBACK,13,1.4,4,6,Automatic,32,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CRUZE HATCHBACK,16,1.4,4,6,Manual,31,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet CRUZE PREMIER HATCHBACK,14,1.4,4,6,Automatic,31,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet MALIBU,180,1.5,4,6,Automatic,30,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet MALIBU,260,1.8,4,1,CVT,46,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet MALIBU,337,2,4,9,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,Direct ignition
Dodge Challenger,21,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Challenger,22,5.7,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,Multipoint/sequential ignition
Dodge Challenger,24,5.7,8,6,Manual,18,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger,23,6.4,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger,25,6.4,8,6,Manual,17,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger GT,30,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Challenger SRT,26,6.2,8,8,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger SRT,28,6.2,8,6,Manual,16,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger SRT,27,6.4,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Challenger SRT,29,6.4,8,6,Manual,17,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Ford FOCUS RS AWD,259,2.3,4,6,Manual,22,Turbocharged/Supercharged,N,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
Ford Focus ST FWD,180,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FUSION AWD,42,2,4,6,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FUSION AWD,46,2.7,6,6,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FUSION FWD,37,1.5,4,6,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FUSION FWD,39,2,4,6,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Ford FUSION FWD,38,2.5,4,6,Automatic,25,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford FUSION HYBRID FWD,43,2,4,1,CVT,42,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Honda ACCORD 2.0T SPORT/TOURING,52,2,4,10,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 4Dr,45,1.5,4,1,CVT,36,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 4Dr,44,1.5,4,6,Manual,35,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 4Dr,48,1.5,4,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 4Dr,41,2,4,1,CVT,34,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Honda CIVIC 4Dr,40,2,4,6,Manual,32,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
HYUNDAI MOTOR COMPANY Elantra,34,1.4,4,7,Manual,35,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra,16,1.6,4,7,Manual,29,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra,17,1.6,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra,13,2,4,6,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
HYUNDAI MOTOR COMPANY Elantra,14,2,4,6,Manual,29,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
HYUNDAI MOTOR COMPANY Elantra SE,15,2,4,6,Automatic,33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
INFINITI Q50,161,2,4,7,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q50,131,3,6,7,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q50 AWD,162,2,4,7,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q50 AWD,132,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q50 AWD RED SPORT,135,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q50 RED SPORT,133,3,6,7,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q70,151,3.7,6,7,Automatic,21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
INFINITI Q70,111,5.6,8,7,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q70 AWD,152,3.7,6,7,Automatic,20,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
INFINITI Q70 AWD,112,5.6,8,7,Automatic,18,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
INFINITI Q70 HYBRID,141,3.5,6,7,Automatic,30,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Jaguar XF,260,2,4,8,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XF,262,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XF AWD,264,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XF AWD,263,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XF AWD (296 Hp),267,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Forte,30,2,4,6,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
KIA MOTORS CORPORATION Forte,32,2,4,6,Automatic,28,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Forte,31,2,4,6,Manual,28,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
KIA MOTORS CORPORATION Optima Hybrid,45,2,4,6,Manual,42,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Stinger AWD,38,2,4,8,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Stinger AWD,36,3.3,6,8,Automatic,21,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Stinger RWD,39,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Stinger RWD,37,3.3,6,8,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
LEXUS ES 300h,25,2.5,4,6,CVT,40,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
LEXUS ES 350,27,3.5,6,6,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
LEXUS GS 300,88,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS GS 300 F SPORT,89,2,4,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS GS 350,117,3.5,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS GS 350 AWD,118,3.5,6,6,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Direct ignition
LEXUS GS 350 F SPORT,84,3.5,6,8,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
LEXUS GS 450h,85,3.5,6,8,CVT,31,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
Lincoln MKZ AWD,41,2,4,6,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln MKZ AWD,47,3,6,6,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln MKZ FWD,40,2,4,6,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln MKZ FWD,48,3,6,6,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln MKZ HYBRID FWD,44,2,4,1,CVT,40,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
MASERATI Ghibli  S RWD,38,3,6,8,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
MASERATI Ghibli V6 Rear Wheel Drive (RWD),36,3,6,8,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
MASERATI Ghibli V6 SQ4 AWD,35,3,6,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
MAZDA MAZDA3 5-Door,6,2,4,6,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA3 5-Door,5,2,4,6,Manual,31,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
MAZDA MAZDA3 5-Door,8,2.5,4,6,Automatic,30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Mercedes-Benz AMG E 43 4MATIC,317,3,6,9,Automatic,21,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG E 63 S 4MATIC,360,4,8,9,Automatic,18,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 300,332,2,4,9,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 300 4MATIC,338,2,4,9,Automatic,24,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz E 400 4MATIC,302,3,6,9,Automatic,23,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mini COOPER CLUBMAN,30,1.5,3,6,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER CLUBMAN,31,1.5,3,6,Manual,28,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER CLUBMAN ALL4,40,1.5,3,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER CLUBMAN ALL4,41,1.5,3,6,Manual,26,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER COUNTRYMAN,38,1.5,3,6,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER COUNTRYMAN,39,1.5,3,6,Manual,28,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER COUNTRYMAN ALL4,48,1.5,3,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER COUNTRYMAN ALL4,49,1.5,3,6,Manual,26,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S CLUBMAN,50,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
